Time (years),Data_1,Data_2
0.0,1000000.0,0.0
4468000.0,999306.8528194401,693.1471805599452
8936000.0,998614.186091894,-32525211738.224327
13404000.0,997921.9994843373,1.5262118216954488e+18
17872000.0,997230.292663976,-7.1615906559817085e+25
22340000.0,996539.0652982469,3.360502126557303e+33
26808000.0,995848.3170548176,-1.5768807636560064e+41
31276000.0,995158.0476015856,7.399349410130331e+48
35744000.0,994468.2566066791,-3.4720679556174586e+56
40212000.0,993778.9437384558,1.6292318716454912e+64
44680000.0,993090.1086655036,-7.645001553874895e+71
49148000.0,992401.7510566401,3.587337675865635e+79
53616000.0,991713.8705809125,-1.6833209921536727e+87
58084000.0,991026.4669075971,7.898809141075565e+94
62552000.0,990339.5397061999,-3.7064342533573727e+102
67020000.0,989653.0886464556,1.7392058257265597e+110
71488000.0,988967.1133983278,-8.161042925559082e+117
75956000.0,988281.6136320092,3.829484736517281e+125
80424000.0,987596.589017921,-1.796945988519499e+133
84892000.0,986912.0392267127,8.431982649950294e+140
89360000.0,986227.963929262,-3.956620391670236e+148
93828000.0,985544.3627966751,1.8566030758937836e+156
98296000.0,984861.2355002858,-8.711917344092649e+163
102764000.0,984178.581711656,4.087976843072107e+171
107232000.0,983496.401102575,-1.9182407281246198e+179
111700000.0,982814.6933450599,9.001145633376004e+186
116168000.0,982133.4581113548,-4.223694217589376e+194
120636000.0,981452.6950739314,1.981924698290538e+202
125104000.0,980772.4039054879,-9.29997605730065e+209
129572000.0,980092.5842789498,4.363917294182007e+217
134040000.0,979413.2358674691,-2.0477229224166767e+225
138508000.0,978734.3583444245,9.608727398617396e+232
142976000.0,978055.951383421,-4.508795658349013e+240
147444000.0,977378.0146582897,2.1157055919467638e+248
151912000.0,976700.547843088,-9.927729023394823e+255
156380000.0,976023.5506120992,4.6584838617014884e+263
160848000.0,975347.0226398323,-2.1859452286211083e+271
165316000.0,974670.963601022,1.025732123237649e+279
169784000.0,973995.3731706283,-4.813141586833333e+286
174252000.0,973320.2510238367,2.258516761840475e+294
178720000.0,972645.5968360576,-1.0597855624002892e+302
183188000.0,971971.4102829266,inf
187656000.0,971297.6910403041,
192124000.0,970624.4387842752,
196592000.0,969951.6531911494,
201060000.0,969279.3339374604,
205528000.0,968607.4806999667,
209996000.0,967936.0931556502,
214464000.0,967265.1709817172,
218932000.0,966594.7138555974,
223400000.0,965924.7214549442,
227868000.0,965255.1934576345,
232336000.0,964586.1295417686,
236804000.0,963917.5293856695,
241272000.0,963249.3926678835,
245740000.0,962581.7190671797,
250208000.0,961914.5082625498,
254676000.0,961247.7599332079,
259144000.0,960581.4737585906,
263612000.0,959915.6494183567,
268080000.0,959250.286592387,
272548000.0,958585.3849607842,
277016000.0,957920.9442038727,
281484000.0,957256.9640021984,
285952000.0,956593.4440365289,
290420000.0,955930.3839878528,
294888000.0,955267.78353738,
299356000.0,954605.6423665413,
303824000.0,953943.9601569884,
308292000.0,953282.7365905934,
312760000.0,952621.9713494491,
317228000.0,951961.6641158689,
321696000.0,951301.8145723857,
326164000.0,950642.4224017534,
330632000.0,949983.4872869449,
335100000.0,949325.0089111534,
339568000.0,948666.9869577916,
344036000.0,948009.4211104915,
348504000.0,947352.3110531045,
352972000.0,946695.6564697011,
357440000.0,946039.4570445708,
361908000.0,945383.712462222,
366376000.0,944728.4224073815,
370844000.0,944073.586564995,
375312000.0,943419.2046202264,
379780000.0,942765.2762584578,
384248000.0,942111.8011652895,
388716000.0,941458.7790265395,
393184000.0,940806.2095282439,
397652000.0,940154.0923566561,
402120000.0,939502.4271982472,
406588000.0,938851.2137397055,
411056000.0,938200.4516679365,
415524000.0,937550.1406700629,
419992000.0,936900.2804334238,
424460000.0,936250.8706455756,
428928000.0,935601.9109942908,
433396000.0,934953.4011675586,
437864000.0,934305.3408535843,
442332000.0,933657.7297407896,
446800000.0,933010.5675178118,
451268000.0,932363.8538735042,
455736000.0,931717.5884969358,
460204000.0,931071.771077391,
464672000.0,930426.4013043698,
469140000.0,929781.4788675872,
473608000.0,929137.0034569732,
478076000.0,928492.9747626731,
482544000.0,927849.3924750467,
487012000.0,927206.2562846683,
491480000.0,926563.565882327,
495948000.0,925921.3209590261,
500416000.0,925279.521205983,
504884000.0,924638.1663146293,
509352000.0,923997.2559766101,
513820000.0,923356.7898837848,
518288000.0,922716.767728226,
522756000.0,922077.1892022198,
527224000.0,921438.0539982656,
531692000.0,920799.3618090762,
536160000.0,920161.1123275768,
540628000.0,919523.3052469061,
545096000.0,918885.9402604151,
549564000.0,918249.0170616674,
